Geekbench_Single,Geekbench_Multi
760.8,1506.2
771.8,2409.4
1047.8,3546.2
770.2,3428.4
704.0,1292.8
302.4,536.6
149.0,280.0
190.0,376.0
484.4,842.4
280.2,607.6
412.4,895.2
398.8,1069.8
238.8,757.6
225.0,799.0
223.6,694.8
232.6,768.8
215.0,720.8
163.8,499.0
211.2,680.4
225.8,738.6
222.4,813.8
324.4,1043.0
348.8,783.6
311.2,836.2
354.8,799.8
551.0,1173.0
346.6,652.0
,
429.8,811.0
292.2,545.4
376.8,725.0
390.2,735.8
432.4,762.6
303.4,571.6
483.6,892.8
360.6,668.6
215.0,386.0
,
366.4,670.2
193.0,610.4
463.0,813.6
,
418.0,782.0
523.4,908.0
,
697.4,2295.8
518.6,984.2
,
637.6,1403.8
405.6,787.6
396.2,703.0
196.0,228.0
,
324.2,640.6
,
398.6,725.4
474.4,814.6
454.2,835.4
374.4,644.2
398.2,704.4
296.2,593.6
402.2,713.6
171.2,401.2
212.2,381.6
285.6,524.6
,
331.0,613.2
245.6,420.4
376.2,660.2
339.8,574.6
215.0,383.2
553.8,1021.8
398.0,744.4
378.0,703.0
427.0,747.0
,
299.6,517.2
199.4,366.2
333.2,437.4
448.0,793.6
350.6,615.4
382.2,717.4
359.2,641.0
366.8,641.8
248.8,453.2
,
303.2,584.4
,
,
332.8,580.0
334.8,609.6
,
241.8,437.4
,
207.0,388.0
301.6,917.2
306.8,511.6
253.8,466.8
317.8,492.6
228.2,322.6
,
417.8,741.6
361.6,609.8
495.0,952.0
566.4,1070.2
458.6,724.0
565.4,1084.6
540.2,991.8
207.0,287.4
523.8,936.8
572.0,1052.6
710.4,1329.4
637.8,1188.0
764.0,1450.0
722.0,1361.0
,
536.0,1169.0
,
712.2,1229.8
234.8,431.4
221.6,732.8
202.6,570.6
193.4,319.0
222.2,767.0
295.8,535.2
270.6,886.8
194.0,354.2
194.6,324.2
203.4,311.2
164.2,295.6
182.2,334.2
200.6,318.8
186.8,332.4
80.2,139.4
89.0,138.0
185.4,631.8
200.2,539.6
219.4,701.4
286.2,902.0
312.8,628.4
194.8,699.6
170.2,528.2
220.0,425.2
205.8,370.4
191.2,385.0
190.6,374.4
301.2,588.8
,
299.0,260.0
340.8,596.2
427.4,774.6
348.2,634.2
373.0,703.6
565.0,1076.0
415.6,936.0
762.2,1655.6
910.2,2107.0
805.0,1914.6
531.6,1043.8
795.6,2464.6
758.6,1587.8
870.8,2003.8
850.6,3046.4
789.2,2590.8
776.0,2202.0
846.8,2555.0
985.2,3351.2
1014.0,3402.6
956.2,3250.6
1241.8,4261.8
723.6,2898.6
735.2,4253.4
694.2,2411.0
730.0,4412.2
865.4,5225.0
883.6,3718.0
857.4,3263.8
846.0,4686.0
977.8,3364.6
883.0,4738.0
936.2,5903.4
900.2,5468.8
975.6,7640.4
493.2,2046.2
1055.6,5716.8
864.8,7353.8
1017.6,9866.4
980.8,3115.4
1264.6,4738.6
1089.4,6322.8
1035.2,9413.0
1105.8,3589.6
1060.0,11179.6
1114.6,11536.2
1028.4,13861.6
1133.4,15129.8
891.6,3311.2
712.2,2672.0
579.2,1330.8
637.8,1337.6
976.6,2292.4
689.0,1608.8
947.2,2091.0
874.4,3140.0
1177.6,4697.6
1040.4,4198.8
882.8,3462.6
1086.2,3946.4
804.2,2986.6
921.8,3510.0
,
,
232.4,825.2
74.0,205.6
110.2,208.4
105.4,293.2
111.6,276.4
98.0,271.6
,
,
,
,
,
,
,
,
,
169.6,539.0
192.4,615.4
177.0,519.6
448.2,1287.2
222.6,736.0
229.2,780.4
94.0,93.0
59.0,174.0
77.6,149.8
,
,
,
,
143.8,486.2
,
,
159.6,451.8
,
,
150.0,490.0
168.2,508.2
182.0,527.6
212.2,577.4
,
183.4,667.0
103.4,584.0
176.8,595.2
185.0,623.0
218.6,664.8
229.8,791.6
,
,
,
207.2,671.2
,
,
507.0,3797.0
,
,
,
,
,
,
,
,
83.8,134.0
,
,
76.4,119.8
71.4,102.8
95.6,255.4
,
,
73.4,209.4
96.8,149.6
,
72.6,110.4
86.6,235.8
,
80.0,119.0
105.0,288.4
93.6,136.2
76.0,109.0
,
,
,
,
,
,
,
341.0,658.0
552.0,1046.8
610.6,2033.0
364.0,693.0
707.0,2125.6
725.8,1487.2
410.2,851.8
351.2,704.0
585.8,1324.4
628.6,1323.2
734.6,1656.8
809.0,1713.6
621.0,1327.0
,
724.0,1528.4
854.4,2978.8
935.0,3224.8
403.6,837.2
937.2,3308.0
500.2,1042.0
489.4,1173.4
536.2,1087.2
536.0,1249.8
414.6,877.4
570.2,1114.0
635.0,1166.0
500.8,888.6
697.8,1238.2
685.2,1497.8
722.8,1345.4
565.2,1142.6
579.6,1238.0
621.6,1134.8
575.0,1324.0
727.8,1587.0
702.8,1412.8
768.8,1731.0
962.8,3496.8
931.2,3199.4
773.8,3199.8
745.2,2613.0
922.6,3264.8
819.2,2566.4
534.8,2059.6
935.6,3401.8
952.4,3704.6
778.2,2785.0
1037.4,3876.6
1092.8,3881.6
662.4,2586.0
829.4,3269.8
774.2,3021.0
808.8,2822.4
813.8,2586.8
834.0,3086.0
681.0,2520.6
708.0,2048.8
776.4,2736.8
727.4,2717.6
760.8,2809.8
682.8,2277.2
807.8,2640.4
889.8,3303.2
802.0,3104.6
781.8,2765.8
926.0,3373.2
846.4,2661.6
814.8,2754.4
937.4,3543.8
1031.0,4349.0
882.8,3106.0
828.6,2765.0
738.8,1562.8
616.6,1329.6
485.8,1049.4
663.4,1464.8
514.8,1046.6
167.0,359.0
427.4,865.4
619.0,1256.8
742.6,1611.8
801.2,1687.4
401.2,650.2
484.0,922.0
576.8,1120.8
628.0,1366.4
,
723.8,1608.6
482.0,615.0
733.4,1522.0
816.0,1732.6
577.2,1217.0
662.6,1412.4
759.6,1632.0
458.8,923.4
372.6,597.0
568.2,1328.2
621.8,1305.8
770.0,2436.6
744.6,2583.6
734.2,1508.6
616.2,1767.4
846.2,2720.2
798.6,2348.8
600.8,1826.4
594.2,1497.0
778.2,2286.4
835.0,2377.2
740.4,1545.2
886.0,2810.4
793.2,2485.2
876.6,2640.0
,
819.2,2483.4
872.6,2967.4
938.2,3023.8
783.8,2351.6
,
873.0,2682.6
955.2,3249.8
,
,
,
,
,
100.0,100.0
164.0,307.0
164.0,307.0
113.2,148.0
183.0,313.0
154.0,289.0
229.2,395.2
273.6,385.4
258.0,465.8
240.6,382.0
281.6,555.0
285.8,435.4
199.6,260.2
377.8,859.2
426.8,851.4
340.8,794.0
346.2,687.2
191.0,651.0
341.4,685.8
377.6,864.6
507.4,911.8
783.6,1694.8
251.0,441.8
657.4,1499.6
229.0,383.0
291.6,493.4
384.2,1732.4
181.4,422.2
526.4,4873.4
331.6,549.4
215.2,381.6
306.8,562.0
380.8,644.0
356.8,625.4
298.4,516.2
402.0,703.4
367.4,671.4
382.4,681.0
431.8,757.2
435.2,758.0
,
,
,
,
,
,
827.8,1734.2
690.0,1389.8
840.0,1839.2
680.6,1356.0
774.6,1589.8
660.6,1476.2
,
,
,
568.6,1083.4
436.0,929.0
790.4,1507.2
900.0,1944.8
760.4,1664.2
812.0,1711.8
665.4,1355.2
860.6,1855.8
793.2,1615.8
728.4,1534.2
,
,
,
,
264.0,454.0
302.0,496.0
299.8,523.8
200.4,348.4
272.8,397.0
333.2,584.6
309.4,494.4
285.6,467.6
370.4,574.0
393.6,645.6
396.2,660.0
386.4,635.8
,
,
230.0,389.0
,
259.8,445.2
,
255.8,483.2
732.4,1554.6
251.8,440.8
291.4,573.6
336.8,613.4
293.0,444.4
306.8,511.6
393.6,653.0
498.2,1120.8
403.6,956.6
871.4,2956.2
309.8,535.2
376.2,660.2
374.4,644.2
360.4,635.0
411.4,741.8
382.0,685.4
360.2,630.0
228.2,336.6
422.4,723.2
358.4,622.2
351.0,717.0
377.2,720.4
395.6,675.4
439.0,745.8
477.4,841.8
475.8,846.0
324.0,1072.4
352.2,1075.8
321.2,990.2
,
356.0,1130.2
366.8,1060.0
,
321.8,911.8
324.8,851.6
365.6,1107.0
395.2,1259.2
,
447.4,1457.0
406.2,1253.6
,
451.8,1468.8
,
449.6,1450.0
,
335.8,750.4
192.2,462.4
347.6,800.0
371.4,765.4
302.8,475.4
197.4,422.6
453.0,1102.4
488.0,1079.2
471.4,980.2
283.2,475.2
238.8,480.8
402.2,879.2
382.2,791.6
155.0,349.0
489.4,1005.8
330.0,580.2
244.4,362.8
,
435.6,921.2
276.0,482.0
362.8,731.6
524.8,1442.2
622.8,1407.4
648.4,1940.2
318.4,701.2
351.2,741.0
505.0,1697.8
,
558.2,1782.6
334.2,564.2
504.2,980.4
,
412.8,782.6
518.0,1075.4
173.0,347.8
,
,
,
120.0,520.0
208.4,579.4
358.2,1241.6
571.4,1827.4
424.8,1636.4
532.2,1785.8
692.6,2837.2
1129.2,5413.8
514.2,1965.4
555.0,2118.6
578.8,1974.6
583.2,2266.2
636.6,3195.2
573.2,2081.6
509.6,1191.8
421.6,831.4
412.8,898.8
642.2,1380.8
,
394.4,1073.6
349.8,776.8
575.0,2066.6
472.4,1864.0
549.6,1201.2
495.6,1066.0
544.4,1177.8
,
577.4,1248.2
509.8,1161.4
604.6,1356.8
586.4,1239.4
343.0,766.8
274.2,555.2
340.6,730.0
356.8,667.2
,
428.6,891.0
415.2,868.0
262.2,601.0
262.6,610.6
276.0,626.4
495.8,1086.4
234.0,565.8
277.4,635.0
599.2,1836.0
625.8,1786.4
662.0,2124.0
687.6,2175.0
661.8,1317.4
726.0,2047.6
539.8,1466.2
668.2,1978.6
567.0,1192.6
586.2,1274.6
559.0,1247.6
473.6,993.4
658.8,2205.4
416.4,928.6
701.8,2271.0
833.2,2866.4
695.0,1829.8
432.0,1771.0
554.0,1173.0
576.2,1182.2
544.8,1197.8
332.6,553.4
796.8,2630.8
775.0,2797.2
466.8,977.2
782.0,3060.2
675.6,2279.6
459.6,1003.8
404.8,827.4
522.4,1473.2
,
563.0,1956.8
380.4,754.8
597.4,1281.6
,
,
586.8,2270.2
624.0,2294.6
469.4,941.2
854.4,3297.6
439.0,1746.0
404.2,1448.0
697.4,2514.6
665.2,2341.2
518.2,1744.0
432.0,964.6
307.4,331.8
445.4,1005.8
625.6,1382.6
335.8,802.0
643.8,1328.2
568.8,1287.8
648.4,1422.8
306.2,711.6
666.4,1475.0
267.6,582.0
657.4,1436.2
560.2,1245.2
633.2,1531.2
631.2,1391.8
,
530.8,1103.4
530.8,1103.4
505.0,1112.6
632.2,1378.8
631.2,1391.8
668.0,2167.8
645.0,2043.8
419.0,1035.4
361.2,551.8
546.0,1272.0
658.2,2115.4
617.0,1378.2
695.4,2281.4
609.8,1413.0
504.0,1115.6
611.8,1456.2
528.0,1144.4
387.0,679.0
701.2,2216.4
684.6,2372.6
814.8,2652.6
779.4,2437.0
672.8,1498.0
665.4,2080.8
723.6,2135.2
622.0,2108.4
792.2,2626.0
859.8,2866.0
661.0,2230.8
844.4,2712.8
504.8,1105.6
714.6,1497.0
537.4,1200.6
665.8,1341.0
709.4,2840.4
554.8,2207.2
554.8,2207.2
651.8,2618.8
661.6,2812.2
546.2,2215.2
546.2,2215.2
718.6,2655.8
642.0,1419.6
580.0,1247.2
596.0,1199.0
733.4,2938.2
784.8,2611.4
736.4,2602.2
799.6,2218.6
793.2,3030.2
713.4,2680.6
809.4,3132.0
789.0,2973.0
,
,
,
,
,
,
,
284.0,767.0
,
372.8,568.8
363.8,588.4
512.0,897.0
488.8,1510.4
474.4,1538.0
511.4,2161.8
806.6,2491.8
730.4,3224.2
709.2,3801.0
538.2,2114.2
568.6,1037.8
573.8,1065.8
477.4,833.2
