Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,Geekbench_Single,Geekbench_Multi
7th Generation Intel® Core™ i7 Processors,Mobile,i7-7Y75,Launched,16983.0,14.0,393.0,2.0,4.0,1.3,3.6,4 MB SmartCache,4 GT/s OPI,4.5,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,1.05 GHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,760.8,1506.2
8th Generation Intel® Core™ i5 Processors,Mobile,i5-8250U,Launched,17348.0,14.0,297.0,4.0,8.0,1.6,3.4,6 MB SmartCache,4 GT/s OPI,15.0,No,Yes,32 GB,"DDR4-2400, LPDDR3-2133",2,34.1 GB/s,No,,300 MHz,1.10 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,771.8,2409.4
8th Generation Intel® Core™ i7 Processors,Mobile,i7-8550U,Launched,17348.0,14.0,409.0,4.0,8.0,1.8,4.0,8 MB SmartCache,4 GT/s OPI,15.0,No,Yes,32 GB,"DDR4-2400, LPDDR3-2133",2,34.1 GB/s,No,,300 MHz,1.15 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,1047.8,3546.2
Intel® Core™ X-series Processors,Desktop,i7-3820,End of Life,15340.0,32.0,305.0,4.0,8.0,3.6,3.8,10 MB SmartCache,5 GT/s DMI2,130.0,No,,64.23 GB,DDR3 1066/1333/1600,4,51.2 GB/s,No,,,,,,,,,,,,2,,40,66.8°C,Yes,Yes,Yes,64.0,"SSE4.2, AVX, AES",Yes,Yes,,Yes,770.2,3428.4
7th Generation Intel® Core™ i5 Processors,Mobile,i5-7Y57,Launched,17167.0,14.0,281.0,2.0,4.0,1.2,3.3,4 MB SmartCache,4 GT/s OPI,4.5,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,950 MHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,704.0,1292.8
Intel® Celeron® Processor 3000 Series,Mobile,3205U,Launched,16436.0,14.0,107.0,2.0,2.0,1.5,,2 MB,5 GT/s DMI2,15.0,No,Yes,16 GB,DDR3L 1333/1600 LPDDR3 1333/1600,2,25.6 GB/s,,,100 MHz,800 MHz,,eDP/DP/HDMI,,,,,11.2/12,,2,4x1 2x4,12,105°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,302.4,536.6
Intel® Celeron® Processor N Series,Mobile,N2805,Launched,15887.0,22.0,,2.0,2.0,1.46,,1 MB,,4.3,No,Yes,4 GB,DDR3L 1066,1,,,,313 MHz,667 MHz,,,,,,,,,2,1x4,4,80°C ,No,Yes,Yes,64.0,,Yes,,,Yes,149.0,280.0
Intel® Celeron® Processor J Series,Desktop,J1750,Launched,15887.0,22.0,,2.0,2.0,2.41,,1 MB L2,,10.0,No,Yes,8 GB,DDR3L 1333,2,,No,,688 MHz,750 MHz,,,,,,,,,2,"X4, X2, X1",4,100°C ,No,Yes,Yes,64.0,,,,,Yes,190.0,376.0
Intel® Celeron® Processor G Series,Desktop,G1610,Launched,15706.0,22.0,42.0,2.0,2.0,2.6,,2 MB SmartCache,5 GT/s DMI,55.0,No,Yes,32 GB,DDR3 1333,2,21 GB/s,Yes,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,No,Yes,484.4,842.4
Intel® Pentium® Processor 2000 Series,Mobile,2020M,Launched,15522.0,22.0,134.0,2.0,2.0,2.4,,2 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,90 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,280.2,607.6
Intel® Pentium® Processor 3000 Series,Mobile,3825U,Launched,16436.0,14.0,161.0,2.0,4.0,1.9,,2 MB,5 GT/s DMI2,15.0,No,Yes,16 GB,DDR3L 1333/1600 LPDDR3 1333/1600,2,25.6 GB/s,,,300 MHz,850 MHz,,eDP/DP/HDMI,,,,,11.2/12,,2,4x1 2x4,12,105°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,,Yes,Yes,Yes,412.4,895.2
Intel® Pentium® Processor 4000 Series,Mobile,4405U,Launched,16617.0,14.0,161.0,2.0,4.0,2.1,,2 MB SmartCache,4 GT/s OPI,15.0,No,Yes,32 GB,"DDR4-1866/2133, LPDDR3-1600/1866",2,34.1 GB/s,No,,300 MHz,950 MHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,2,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,398.8,1069.8
Intel® Pentium® Processor N Series,Mobile,N3710,Launched,16801.0,14.0,161.0,4.0,4.0,1.6,,2 MB L2,,6.0,Yes,Yes,8 GB,DDR3L-1600,2,,No,,400 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,238.8,757.6
Intel® Pentium® Processor J Series,Desktop,J2850,Launched,15887.0,22.0,94.0,4.0,4.0,2.41,,2 MB L2,,10.0,No,Yes,8 GB,DDR3L 1333,2,,No,,688 MHz,854 MHz,,,,,,,,,2,"X4, X2, X1",4,100°C ,No,Yes,Yes,64.0,,,,,Yes,225.0,799.0
Intel® Pentium® Processor J Series,Desktop,J2900,Launched,15979.0,22.0,94.0,4.0,4.0,2.41,,2 MB L2,,10.0,No,Yes,8 GB,DDR3L 1333,2,21.3 GB/s,No,,688 MHz,896 MHz,,,,,,,11.2,,2,"X4, X2, X1",4,  105°C ,No,Yes,Yes,64.0,,Yes,,,Yes,223.6,694.8
Intel® Pentium® Processor J Series,Desktop,J3710,Launched,16801.0,14.0,,4.0,4.0,1.6,,2 MB L2,,6.5,No,Yes,8 GB,DDR3L-1600,2,,No,,400 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64.0,,,Yes,Yes,Yes,232.6,768.8
Intel® Pentium® Processor N Series,Mobile,N3700,Launched,16436.0,14.0,161.0,4.0,4.0,1.6,,2 MB L2,,6.0,No,Yes,8 GB,DDR3L-1600,2,,No,,400 MHz,,8 GB,eDP/DP/HDMI,,,,,Yes,,2,1x4/2x2/1x2 + 2x1/4x1,4,90°C ,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,215.0,720.8
Intel® Pentium® Processor N Series,Mobile,N3510,Launched,15887.0,22.0,,4.0,4.0,2.0,,2 MB,,7.5,No,Yes,8 GB,DDR3L 1333,2,,,,313 MHz,750 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64.0,,Yes,,Yes,Yes,163.8,499.0
Intel® Pentium® Processor N Series,Mobile,N3520,Launched,15979.0,22.0,161.0,4.0,4.0,2.17,,2 MB,,7.5,No,Yes,8 GB,DDR3L 1333,2,,,,313 MHz,854 MHz,,,,,,,,,2,,4,105°C,No,Yes,Yes,64.0,,Yes,,Yes,Yes,211.2,680.4
Intel® Pentium® Processor N Series,Mobile,N3530,Launched,16071.0,22.0,161.0,4.0,4.0,2.16,,2 MB,,7.5,No,Yes,8 GB,DDR3L 1333,2,,,,313 MHz,896 MHz,,,,,,,,,2,1x4,4,100°C,No,Yes,Yes,64.0,,Yes,,Yes,Yes,225.8,738.6
Intel® Pentium® Processor N Series,Mobile,N3540,Launched,16252.0,22.0,161.0,4.0,4.0,2.16,,2 MB L2,,7.5,No,Yes,8 GB,DDR3L 1333,2,21.32 GB/s,No,,313 MHz,896 MHz,,,,,,,11.2,,2,1x4,4,100°C,No,Yes,Yes,64.0,,Yes,,Yes,Yes,222.4,813.8
Intel® Pentium® Processor N Series,Mobile,N4200,Launched,16983.0,14.0,161.0,4.0,4.0,1.1,,2 MB L2,,6.0,Yes,Yes,8 GB,"DDR3L/LPDDR3 up to 1866 MT/s; ,LPDDR4 up to 2400 MT/s",2,,No,,200 MHz,,8 GB,eDP/DP/HDMI/MIPI-DSI,,,,,Yes,,2,1x4 + 1x2 or 4x1 or 2x1+1x2 + 1x2,6,105°C,No,Yes,Yes,64.0,,Yes,Yes,Yes,Yes,324.4,1043.0
Intel® Pentium® Processor 4000 Series,Mobile,4405Y,Launched,16617.0,14.0,161.0,2.0,4.0,1.5,,2 MB SmartCache,4 GT/s OPI,6.0,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,800 MHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz ,3840x2160@60Hz,3840x2160@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,348.8,783.6
Intel® Pentium® Processor 4000 Series,Mobile,4415Y,Launched,17257.0,14.0,161.0,2.0,4.0,1.6,,2 MB SmartCache,4 GT/s OPI,6.0,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,850 MHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,311.2,836.2
Intel® Pentium® Processor 4000 Series,Mobile,4410Y,Launched,17167.0,14.0,161.0,2.0,4.0,1.5,,2 MB SmartCache,4 GT/s OPI,6.0,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,850 MHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,354.8,799.8
Intel® Pentium® Processor 4000 Series,Mobile,4415U,Launched,17167.0,14.0,161.0,2.0,4.0,2.3,,2 MB SmartCache,4 GT/s OPI,15.0,No,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,950 MHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,2,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,551.0,1173.0
Intel® Pentium® Processor 3000 Series,Mobile,3805U,Launched,16436.0,14.0,161.0,2.0,2.0,1.9,,2 MB,5 GT/s DMI2,15.0,No,Yes,16 GB,DDR3L 1333/1600 LPDDR3 1333/1600,2,25.6 GB/s,,,100 MHz,800 MHz,,eDP/DP/HDMI,,,,,11.2/12,,2,4x1 2x4,12,105°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,346.6,652.0
Intel® Pentium® Processor 3000 Series,Mobile,3560M,Launched,16161.0,22.0,134.0,2.0,2.0,2.4,,2 MB,5 GT/s DMI2,37.0,No,Yes,32 GB,DDR3L 1333/1600,2,25.6 GB/s,No,,400 MHz,1.10 GHz,,eDP/DP/HDMI/VGA ,,,,,,,2,1x16 or 2x8 or 1x8 2x4,16,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,,Yes,Yes,Yes,429.8,811.0
Intel® Pentium® Processor 3000 Series,Mobile,3560Y,Launched,15887.0,22.0,,2.0,2.0,1.2,,2 MB SmartCache,5 GT/s DMI2,11.5,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,850 MHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 2x4",12,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,292.2,545.4
Intel® Pentium® Processor 3000 Series,Mobile,3558U,Launched,15979.0,22.0,161.0,2.0,2.0,1.7,,2 MB SmartCache,5 GT/s DMI2,15.0,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,1.00 GHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 1x4, 1x2",10,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,376.8,725.0
Intel® Pentium® Processor 3000 Series,Mobile,3556U,Launched,15887.0,22.0,,2.0,2.0,1.7,,2 MB SmartCache,5 GT/s DMI2,15.0,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,1.00 GHz,,eDP/DP/HDMI,,,,,,,2,"4x1, 1x4, 1x2",10,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,Yes,Yes,390.2,735.8
Intel® Pentium® Processor 3000 Series,Mobile,3550M,Launched,15979.0,22.0,134.0,2.0,2.0,2.3,,2 MB SmartCache,5 GT/s DMI2,37.0,No,Yes,32 GB,DDR3L 1333/1600,2,25.6 GB/s,No,,400 MHz,1.10 GHz,,eDP/DP/HDMI/VGA ,,,,,,,2,1x16 or 2x8 or 1x8 2x4,16,100°C,No,Yes,Yes,64.0,SSE4.1/4.2,,Yes,Yes,Yes,432.4,762.6
Intel® Pentium® Processor 2000 Series,Mobile,2117U,Launched,15522.0,22.0,134.0,2.0,2.0,1.8,,2 MB SmartCache,5 GT/s DMI,17.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,303.4,571.6
Intel® Pentium® Processor 2000 Series,Mobile,2030M,Launched,15706.0,22.0,134.0,2.0,2.0,2.5,,2 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,90 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,483.6,892.8
Intel® Pentium® Processor 2000 Series,Mobile,2127U,Launched,15887.0,22.0,134.0,2.0,2.0,1.9,,2 MB SmartCache,5 GT/s DMI,17.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600	,2,25.6 GB/s,No,,350 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,360.6,668.6
Intel® Pentium® Processor 2000 Series,Mobile,2129Y,Launched,15706.0,22.0,,2.0,2.0,1.1,,2 MB SmartCache,5 GT/s DMI,10.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,850 MHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,,,,105 C,No,Yes,Yes,64.0,SSE4.x,Yes,Yes,,Yes,215.0,386.0
Intel® Pentium® Processor 1000 Series,Mobile,A1018,End of Life,15887.0,22.0,,2.0,2.0,2.1,,1 MB SmartCache,5 GT/s DMI,35.0,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 & 2x4",1,105C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,366.4,670.2
Intel® Pentium® Processor 1000 Series,Mobile,A1020,Launched,16801.0,22.0,86.0,4.0,4.0,2.41,,2 MB L2,,10.0,No,Yes,8 GB,DDR3L 1333,2,21.3 GB/s,No,,688 MHz,896 MHz,,,,,,,11.2,,2,"X4, X2, X1",4,105°C,No,Yes,Yes,64.0,,Yes,,,Yes,193.0,610.4
Legacy Intel® Pentium® Processor,Desktop,G620,End of Life,15065.0,32.0,64.0,2.0,2.0,2.6,,3 MB SmartCache,5 GT/s DMI,65.0,No,,32 GB,DDR3 1066,2,17 GB/s,,,850 MHz,1.10 GHz,,,,,,,,,2,,,69.1°C,No,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,463.0,813.6
